"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 14 02:03:21 MSK 2019","Sun Apr 14 02:03:26 MSK 2019","5493","tests","test_edit_contact","","","","test_edit_first_found_contact",""
"passed","Sun Apr 14 02:01:51 MSK 2019","Sun Apr 14 02:01:57 MSK 2019","5176","tests","test_del_group","","","","test_del_last_group",""
"passed","Sun Apr 14 02:01:23 MSK 2019","Sun Apr 14 02:01:29 MSK 2019","5762","tests","test_del_contact","","","","test_del_some_contact_using_edit",""
"passed","Sun Apr 14 01:59:00 MSK 2019","Sun Apr 14 01:59:04 MSK 2019","3371","tests","test_add_contact","","","","test_add_contact_using_module[None: lname fname ]",""
"passed","Sun Apr 14 02:03:34 MSK 2019","Sun Apr 14 02:03:36 MSK 2019","2228","tests","test_edit_group","","","","test_clear_some_group_params",""
"passed","Sun Apr 14 02:00:26 MSK 2019","Sun Apr 14 02:00:31 MSK 2019","4996","tests","test_del_contact","","","","test_del_unselected_contact",""
"passed","Sun Apr 14 02:02:24 MSK 2019","Sun Apr 14 02:02:27 MSK 2019","2282","tests","test_edit_contact","","","","test_edit_some_contact_without_change",""
"passed","Sun Apr 14 02:02:11 MSK 2019","Sun Apr 14 02:02:22 MSK 2019","11224","tests","test_edit_contact","","","","test_edit_some_contact",""
"passed","Sun Apr 14 01:58:18 MSK 2019","Sun Apr 14 01:58:25 MSK 2019","6777","tests","test_add_contact","","","","test_add_contact_using_json[None: last_namet first_nameeKm  PNjI]",""
"passed","Sun Apr 14 02:03:36 MSK 2019","Sun Apr 14 02:03:37 MSK 2019","1117","tests","test_edit_group","","","","test_update_first_group_without_changes",""
"passed","Sun Apr 14 02:01:59 MSK 2019","Sun Apr 14 02:02:11 MSK 2019","11982","tests","test_edit_contact","","","","test_edit_first_contact",""
"passed","Sun Apr 14 02:00:31 MSK 2019","Sun Apr 14 02:00:45 MSK 2019","14654","tests","test_del_contact","","","","test_del_all_contacts_from_group",""
"passed","Sun Apr 14 02:03:08 MSK 2019","Sun Apr 14 02:03:09 MSK 2019","1526","tests","test_edit_contact","","","","test_add_some_contact_to_group_from_another_group",""
